+-----+----------------------+-------------------+-----------------+-----+
| d   | G                    | ell               | field           | ind |
| 190 | 2.{\rm PSL}_{2}(191) | !2, 191           | Not implemented | -1  |
| 190 | 2.{\rm PSL}_{2}(379) | !379, 2           | Not implemented | 0   |
| 191 | A_{192}              | !2, 3             |                 | 1   |
| 191 | A_{193}              | 193               |                 | 1   |
| 191 | {\rm PSL}_{2}(191)   | !2, 3, 191        | Not implemented | 1   |
| 191 | {\rm PSL}_{2}(383)   | !383              | Not implemented | 0   |
| 192 | A_{193}              | !193              |                 | 1   |
| 192 | A_{194}              | 2, 97             |                 | 1   |
| 192 | {\rm PSL}_{2}(191)   | !191              | Not implemented | 1   |
| 192 | 2.{\rm PSL}_{2}(191) | !191, 2           | Not implemented | -1  |
| 192 | {\rm PSL}_{2}(193)   | !193              | Not implemented | 1   |
| 192 | 2.{\rm PSL}_{2}(193) | !97, 193          | Not implemented | -1  |
| 192 | 2.{\rm PSL}_{2}(383) | !383, 2           | Not implemented | 0   |
| 193 | A_{194}              | !2, 97            |                 | 1   |
| 193 | A_{195}              | 3, 5, 13          |                 | 1   |
| 193 | {\rm PSL}_{2}(193)   | !2, 97, 193       | Not implemented | 1   |
| 194 | A_{195}              | !3, 5, 13         |                 | 1   |
| 194 | A_{196}              | 2, 7              |                 | 1   |
| 194 | {\rm PSL}_{2}(193)   | !193              | Not implemented | 1   |
| 194 | 2.{\rm PSL}_{2}(193) | !2, 193           | Not implemented | -1  |
| 194 | {\rm PSL}_{2}(389)   | 2                 | Not implemented | -1  |
| 194 | 2.{\rm PSL}_{2}(389) | !2, 389           | Not implemented | -1  |
| 195 | A_{196}              | !2, 7             |                 | 1   |
| 195 | A_{197}              | 197               |                 | 1   |
| 195 | {\rm PSL}_{2}(389)   | !2, 389           | Not implemented | 1   |
| 196 | A_{197}              | !197              |                 | 1   |
| 196 | A_{198}              | 2, 3, 11          |                 | 1   |
| 196 | {\rm PSL}_{2}(197)   | !197              | Not implemented | 1   |
| 196 | 2.{\rm PSL}_{2}(197) | !197              | Not implemented | -1  |
| 197 | A_{198}              | !2, 3, 11         |                 | 1   |
| 197 | A_{199}              | 199               |                 | 1   |
| 197 | {\rm PSL}_{2}(197)   | !2, 3, 11, 197    | Not implemented | 1   |
| 198 | A_{199}              | !199              |                 | 1   |
| 198 | A_{200}              | 2, 5              |                 | 1   |
| 198 | {\rm PSL}_{2}(197)   | !7, 197           | Not implemented | 1   |
| 198 | 2.{\rm PSL}_{2}(197) | !2, 197           | Not implemented | -1  |
| 198 | {\rm PSL}_{2}(199)   | !199              | Not implemented | 1   |
| 198 | 2.{\rm PSL}_{2}(199) | !2, 199           | Not implemented | -1  |
| 198 | {\rm PSL}_{2}(397)   | 2                 | Not implemented | -1  |
| 198 | 2.{\rm PSL}_{2}(397) | !2, 397           | Not implemented | -1  |
| 199 | A_{200}              | !2, 5             |                 | 1   |
| 199 | A_{201}              | 3, 67             |                 | 1   |
| 199 | {\rm PSL}_{2}(199)   | !2, 5, 199        | Not implemented | 1   |
| 199 | {\rm PSL}_{2}(397)   | !2, 397           | Not implemented | 1   |
| 200 | A_{201}              | !3, 67            |                 | 1   |
| 200 | A_{202}              | 2, 101            |                 | 1   |
| 200 | {\rm PSL}_{2}(199)   | !199              | Not implemented | 1   |
| 200 | 2.{\rm PSL}_{2}(199) | !199, 2           | Not implemented | -1  |
| 200 | {\rm PSL}_{2}(401)   | 2                 | Not implemented | -1  |
| 200 | 2.{\rm PSL}_{2}(401) | !2, 401           | Not implemented | -1  |
| 201 | A_{202}              | !2, 101           |                 | 1   |
| 201 | A_{203}              | 7, 29             |                 | 1   |
| 201 | {\rm PSL}_{2}(401)   | !2, 401           | Not implemented | 1   |
| 202 | A_{203}              | !7, 29            |                 | 1   |
| 202 | A_{204}              | 2, 3, 17          |                 | 1   |
| 203 | A_{204}              | !2, 3, 17         |                 | 1   |
| 203 | A_{205}              | 5, 41             |                 | 1   |
| 204 | A_{205}              | !5, 41            |                 | 1   |
| 204 | A_{206}              | 2, 103            |                 | 1   |
| 204 | {\rm PSL}_{2}(409)   | 2                 | Not implemented | -1  |
| 204 | 2.{\rm PSL}_{2}(409) | !2, 409           | Not implemented | -1  |
| 205 | A_{206}              | !2, 103           |                 | 1   |
| 205 | A_{207}              | 3, 23             |                 | 1   |
| 205 | {\rm PSL}_{2}(409)   | !2, 409           | Not implemented | 1   |
| 206 | A_{207}              | !3, 23            |                 | 1   |
| 206 | A_{208}              | 2, 13             |                 | 1   |
| 207 | A_{208}              | !2, 13            |                 | 1   |
| 207 | A_{209}              | 11, 19            |                 | 1   |
| 208 | A_{209}              | !11, 19           |                 | 1   |
| 208 | A_{210}              | 2, 3, 5, 7        |                 | 1   |
| 209 | A_{210}              | !2, 3, 5, 7       |                 | 1   |
| 209 | A_{211}              | 211               |                 | 1   |
| 209 | {\rm PSL}_{2}(419)   | !419              | Not implemented | 0   |
| 210 | A_{211}              | !211              |                 | 1   |
| 210 | A_{212}              | 2, 53             |                 | 1   |
| 210 | {\rm PSL}_{2}(211)   | !211              | Not implemented | 1   |
| 210 | 2.{\rm PSL}_{2}(211) | !2, 211           | Not implemented | -1  |
| 210 | 2.{\rm PSL}_{2}(419) | !419, 2           | Not implemented | 0   |
| 210 | {\rm PSL}_{2}(421)   | 2                 | Not implemented | -1  |
| 210 | 2.{\rm PSL}_{2}(421) | !2, 421           | Not implemented | -1  |
| 211 | A_{212}              | !2, 53            |                 | 1   |
| 211 | A_{213}              | 3, 71             |                 | 1   |
| 211 | {\rm PSL}_{2}(211)   | !2, 53, 211       | Not implemented | 1   |
| 211 | {\rm PSL}_{2}(421)   | !2, 421           | Not implemented | 1   |
| 212 | A_{213}              | !3, 71            |                 | 1   |
| 212 | A_{214}              | 2, 107            |                 | 1   |
| 212 | {\rm PSL}_{2}(211)   | !211              | Not implemented | 1   |
| 212 | 2.{\rm PSL}_{2}(211) | !211, 2           | Not implemented | -1  |
| 213 | A_{214}              | !2, 107           |                 | 1   |
| 213 | A_{215}              | 5, 43             |                 | 1   |
| 214 | A_{215}              | !5, 43            |                 | 1   |
| 214 | A_{216}              | 2, 3              |                 | 1   |
| 215 | A_{216}              | !2, 3             |                 | 1   |
| 215 | A_{217}              | 7, 31             |                 | 1   |
| 215 | {\rm PSL}_{2}(431)   | !431              | Not implemented | 0   |
| 216 | A_{217}              | !7, 31            |                 | 1   |
| 216 | A_{218}              | 2, 109            |                 | 1   |
| 216 | 2.{\rm PSL}_{2}(431) | !431, 2           | Not implemented | 0   |
| 216 | {\rm PSL}_{2}(433)   | 2                 | Not implemented | -1  |
| 216 | 2.{\rm PSL}_{2}(433) | !2, 433           | Not implemented | -1  |
| 217 | A_{218}              | !2, 109           |                 | 1   |
| 217 | A_{219}              | 3, 73             |                 | 1   |
| 217 | {\rm PSL}_{2}(433)   | !2, 433           | Not implemented | 1   |
| 218 | A_{219}              | !3, 73            |                 | 1   |
| 218 | A_{220}              | 2, 5, 11          |                 | 1   |
| 219 | A_{220}              | !2, 5, 11         |                 | 1   |
| 219 | A_{221}              | 13, 17            |                 | 1   |
| 219 | {\rm PSL}_{2}(439)   | !439              | Not implemented | 0   |
| 220 | A_{221}              | !13, 17           |                 | 1   |
| 220 | A_{222}              | 2, 3, 37          |                 | 1   |
| 220 | 2.{\rm PSL}_{2}(439) | !439, 2           | Not implemented | 0   |
| 221 | A_{222}              | !2, 3, 37         |                 | 1   |
| 221 | A_{223}              | 223               |                 | 1   |
| 221 | {\rm PSL}_{2}(443)   | !443              | Not implemented | 0   |
| 222 | A_{223}              | !223              |                 | 1   |
| 222 | A_{224}              | 2, 7              |                 | 1   |
| 222 | {\rm PSL}_{2}(223)   | !223              | Not implemented | 1   |
| 222 | 2.{\rm PSL}_{2}(223) | !2, 223           | Not implemented | -1  |
| 222 | 2.{\rm PSL}_{2}(443) | !443, 2           | Not implemented | 0   |
| 223 | A_{224}              | !2, 7             |                 | 1   |
| 223 | A_{225}              | 3, 5              |                 | 1   |
| 223 | {\rm PSL}_{2}(223)   | !2, 7, 223        | Not implemented | 1   |
| 224 | A_{225}              | !3, 5             |                 | 1   |
| 224 | A_{226}              | 2, 113            |                 | 1   |
| 224 | {\rm PSL}_{2}(223)   | !223              | Not implemented | 1   |
| 224 | 2.{\rm PSL}_{2}(223) | !223, 2           | Not implemented | -1  |
| 224 | {\rm PSL}_{2}(449)   | 2                 | Not implemented | -1  |
| 224 | 2.{\rm PSL}_{2}(449) | !2, 449           | Not implemented | -1  |
| 225 | A_{226}              | !2, 113           |                 | 1   |
| 225 | A_{227}              | 227               |                 | 1   |
| 225 | {\rm PSL}_{2}(449)   | !2, 449           | Not implemented | 1   |
| 226 | A_{227}              | !227              |                 | 1   |
| 226 | A_{228}              | 2, 3, 19          |                 | 1   |
| 226 | {\rm PSL}_{2}(227)   | !227              | Not implemented | 1   |
| 226 | 2.{\rm PSL}_{2}(227) | !2, 227           | Not implemented | -1  |
| 227 | A_{228}              | !2, 3, 19         |                 | 1   |
| 227 | A_{229}              | 229               |                 | 1   |
| 227 | {\rm PSL}_{2}(227)   | !2, 3, 19, 227    | Not implemented | 1   |
| 228 | A_{229}              | !229              |                 | 1   |
| 228 | A_{230}              | 2, 5, 23          |                 | 1   |
| 228 | {\rm PSL}_{2}(227)   | !113, 227         | Not implemented | 1   |
| 228 | 2.{\rm PSL}_{2}(227) | !113, 227, 2      | Not implemented | -1  |
| 228 | {\rm PSL}_{2}(229)   | !229              | Not implemented | 1   |
| 228 | 2.{\rm PSL}_{2}(229) | !229              | Not implemented | -1  |
| 228 | {\rm PSL}_{2}(457)   | 2                 | Not implemented | -1  |
| 228 | 2.{\rm PSL}_{2}(457) | !2, 457           | Not implemented | -1  |
| 229 | A_{230}              | !2, 5, 23         |                 | 1   |
| 229 | A_{231}              | 3, 7, 11          |                 | 1   |
| 229 | {\rm PSL}_{2}(229)   | !2, 5, 23, 229    | Not implemented | 1   |
| 229 | {\rm PSL}_{2}(457)   | !2, 457           | Not implemented | 1   |
| 230 | A_{231}              | !3, 7, 11         |                 | 1   |
| 230 | A_{232}              | 2, 29             |                 | 1   |
| 230 | {\rm PSL}_{2}(229)   | !229              | Not implemented | 1   |
| 230 | 2.{\rm PSL}_{2}(229) | !2, 229           | Not implemented | -1  |
| 230 | {\rm PSL}_{2}(461)   | 2                 | Not implemented | -1  |
| 230 | 2.{\rm PSL}_{2}(461) | !2, 461           | Not implemented | -1  |
| 231 | A_{232}              | !2, 29            |                 | 1   |
| 231 | A_{233}              | 233               |                 | 1   |
| 231 | {\rm PSL}_{2}(461)   | !2, 461           | Not implemented | 1   |
| 231 | {\rm PSL}_{2}(463)   | !463              | Not implemented | 0   |
| 232 | A_{233}              | !233              |                 | 1   |
| 232 | A_{234}              | 2, 3, 13          |                 | 1   |
| 232 | {\rm PSL}_{2}(233)   | !233              | Not implemented | 1   |
| 232 | 2.{\rm PSL}_{2}(233) | !233              | Not implemented | -1  |
| 232 | 2.{\rm PSL}_{2}(463) | !463, 2           | Not implemented | 0   |
| 233 | A_{234}              | !2, 3, 13         |                 | 1   |
| 233 | A_{235}              | 5, 47             |                 | 1   |
| 233 | {\rm PSL}_{2}(233)   | !2, 3, 13, 233    | Not implemented | 1   |
| 233 | {\rm PSL}_{2}(467)   | !467              | Not implemented | 0   |
| 234 | A_{235}              | !5, 47            |                 | 1   |
| 234 | A_{236}              | 2, 59             |                 | 1   |
| 234 | {\rm PSL}_{2}(233)   | !233              | Not implemented | 1   |
| 234 | 2.{\rm PSL}_{2}(233) | !2, 233           | Not implemented | -1  |
| 234 | 2.{\rm PSL}_{2}(467) | !467, 2           | Not implemented | 0   |
| 235 | A_{236}              | !2, 59            |                 | 1   |
| 235 | A_{237}              | 3, 79             |                 | 1   |
| 236 | A_{237}              | !3, 79            |                 | 1   |
| 236 | A_{238}              | 2, 7, 17          |                 | 1   |
| 237 | A_{238}              | !2, 7, 17         |                 | 1   |
| 237 | A_{239}              | 239               |                 | 1   |
| 238 | A_{239}              | !239              |                 | 1   |
| 238 | A_{240}              | 2, 3, 5           |                 | 1   |
| 238 | {\rm PSL}_{2}(239)   | !239              | Not implemented | 1   |
| 238 | 2.{\rm PSL}_{2}(239) | !2, 239           | Not implemented | -1  |
| 239 | A_{240}              | !2, 3, 5          |                 | 1   |
| 239 | A_{241}              | 241               |                 | 1   |
| 239 | {\rm PSL}_{2}(239)   | !2, 3, 5, 239     | Not implemented | 1   |
| 239 | {\rm PSL}_{2}(479)   | !479              | Not implemented | 0   |
| 240 | A_{241}              | !241              |                 | 1   |
| 240 | A_{242}              | 2, 11             |                 | 1   |
| 240 | {\rm PSL}_{2}(239)   | !239              | Not implemented | 1   |
| 240 | 2.{\rm PSL}_{2}(239) | !239, 2           | Not implemented | -1  |
| 240 | {\rm PSL}_{2}(241)   | !241              | Not implemented | 1   |
| 240 | 2.{\rm PSL}_{2}(241) | !11, 241          | Not implemented | -1  |
| 240 | 2.{\rm PSL}_{2}(479) | !479, 2           | Not implemented | 0   |
| 241 | A_{242}              | !2, 11            |                 | 1   |
| 241 | A_{243}              |                   |                 | 1   |
| 241 | {\rm PSL}_{2}(241)   | !2, 11, 241       | Not implemented | 1   |
| 242 | A_{243}              | !                 |                 | 1   |
| 242 | A_{244}              | 2, 61             |                 | 1   |
| 242 | {\rm PSL}_{2}(243)   | !3                | Not implemented | 1   |
| 242 | 2.{\rm PSL}_{2}(243) | !2, 3             | Not implemented | -1  |
| 242 | {\rm PSL}_{2}(241)   | !241              | Not implemented | 1   |
| 242 | 2.{\rm PSL}_{2}(241) | !2, 241           | Not implemented | -1  |
| 243 | A_{244}              | !2, 61            |                 | 1   |
| 243 | A_{245}              | 5, 7              |                 | 1   |
| 243 | {\rm PSL}_{2}(243)   | !2, 61, 3         | Not implemented | 1   |
| 243 | {\rm PSL}_{2}(487)   | !487              | Not implemented | 0   |
| 244 | A_{245}              | !5, 7             |                 | 1   |
| 244 | A_{246}              | 2, 3, 41          |                 | 1   |
| 244 | {\rm PSL}_{2}(243)   | !11, 3            | Not implemented | 1   |
| 244 | 2.{\rm PSL}_{2}(243) | !11, 3, 2         | Not implemented | -1  |
| 244 | 2.{\rm PSL}_{2}(487) | !487, 2           | Not implemented | 0   |
| 245 | A_{246}              | !2, 3, 41         |                 | 1   |
| 245 | A_{247}              | 13, 19            |                 | 1   |
| 245 | {\rm PSL}_{2}(491)   | !491              | Not implemented | 0   |
| 246 | A_{247}              | !13, 19           |                 | 1   |
| 246 | A_{248}              | 2, 31             |                 | 1   |
| 246 | 2.{\rm PSL}_{2}(491) | !491, 2           | Not implemented | 0   |
| 247 | A_{248}              | !2, 31            |                 | 1   |
| 247 | A_{249}              | 3, 83             |                 | 1   |
| 248 | A_{249}              | !3, 83            |                 | 1   |
| 248 | A_{250}              | 2, 5              |                 | 1   |
| 249 | A_{250}              | !2, 5             |                 | 1   |
| 249 | A_{251}              | 251               |                 | 1   |
| 249 | {\rm PSL}_{2}(499)   | !499              | Not implemented | 0   |
| 250 | A_{251}              | !251              |                 | 1   |
| 250 | A_{252}              | 2, 3, 7           |                 | 1   |
| 250 | {\rm PSL}_{2}(251)   | !251              | Not implemented | 1   |
| 250 | 2.{\rm PSL}_{2}(251) | !2, 251           | Not implemented | -1  |
| 250 | 2.{\rm PSL}_{2}(499) | !499, 2           | Not implemented | 0   |
+-----+----------------------+-------------------+-----------------+-----+
