"d","G","ell","field","ind"
"43","{\rm PSL}_{2}(43)","!2, 11, 43","Not implemented","1"
"44","A_{11}","! 3,5","","1"
"44","A_{12}","2","","1"
"44","4_2.{\rm PSL}_{3}(4)","7","i1","0"
"44","{\rm PSU}_{5}(2)","! 2,5","","1"
"44","{\rm M}_{11}","! 3,5","","1"
"44","{\rm M}_{12}","2","","1"
"44","2.{\rm M}_{12}","! 2,5","i5","0"
"44","{\rm M}_{23}","2","b7","0"
"44","{\rm M}_{24}","2","b7","0"
"44","A_{45}","!3, 5","","1"
"44","A_{46}","2, 23","","1"
"44","{\rm PSL}_{2}(43)","!43","Not implemented","1"
"44","2.{\rm PSL}_{2}(43)","!43, 2","Not implemented","-1"
"44","{\rm PSL}_{2}(89)","2","Not implemented","-1"
"44","2.{\rm PSL}_{2}(89)","!2, 89","Not implemented","-1"
"45","A_{8}","7","","1"
"45","A_{8}","! 2,7","b7","0"
"45","A_{11}","! 2,11","","1"
"45","A_{12}","3","","1"
"45","{\rm PSL}_{3}(4)","7","","1"
"45","{\rm PSL}_{3}(4)","! 2,7","b7","0"
"45","3.{\rm PSL}_{3}(4)","0,5","z3, b7","0"
"45","{\rm PSU}_{4}(2)","0,5","z3","0"
"45","3_2.{\rm PSU}_{4}(3)","7","z3","0"
"45","3_2.{\rm PSU}_{4}(3)","! 3,7","z3, b7","0"
"45","{\rm M}_{11}","! 2,11","","1"
"45","{\rm M}_{12}","! 2,11","","1"
"45","{\rm M}_{22}","7","","1"
"45","{\rm M}_{22}","! 2,7","b7","0"
"45","3.{\rm M}_{22}","7","z3","0"
"45","3.{\rm M}_{22}","! 3,7","z3, b7","0"
"45","{\rm M}_{23}","7","","1"
"45","{\rm M}_{23}","! 2,7","b7","0"
"45","{\rm M}_{24}","7","","1"
"45","{\rm M}_{24}","! 2,7","b7","0"
"45","{\rm J}_1","7","c19","1"
"45","3.{\rm McL}","5","z3, b7","0"
"45","3.{\rm {\rm O'N}}","7","","0"
"45","A_{46}","!2, 23","","1"
"45","A_{47}","47","","1"
"45","{\rm PSL}_{2}(89)","!2, 89","Not implemented","1"
"46","A_{47}","!47","","1"
"46","A_{48}","2, 3","","1"
"46","{\rm PSL}_{2}(47)","!47","Not implemented","1"
"46","2.{\rm PSL}_{2}(47)","!2, 47","Not implemented","-1"
"47","A_{9}","7","","1"
"47","A_{48}","!2, 3","","1"
"47","A_{49}","7","","1"
"47","{\rm PSL}_{2}(47)","!2, 3, 47","Not implemented","1"
"48","2.A_{8}","! 2","","-1"
"48","A_{9}","0,2","","1"
"48","2.A_{9}","3","","1"
"48","2.A_{9}","! 2,3","i6","0"
"48","A_{10}","2","","1"
"48","2.A_{10}","3","","1"
"48","2.A_{10}","! 2,3","i6","0"
"48","12_1.{\rm PSL}_{3}(4)","0,7","z12,b5","0"
"48","12_2.{\rm PSL}_{3}(4)","0,7","z12, b5","0"
"48","12_2.{\rm PSL}_{3}(4)","5","z12","0"
"48","3.{\rm PSU}_{3}(5)","! 3,5","z3","0"
"48","2.{\rm PSp}_{6}(2)","! 2,7","","1"
"48","{\rm O}_{8}^+(2)","3","","1"
"48","2.Sz(8)","5","c13","1"
"48","12.{\rm M}_{22}","5","z12, b11","0"
"48","A_{49}","!7","","1"
"48","A_{50}","2, 5","","1"
"48","{\rm PSL}_{2}(49)","!7","Not implemented","1"
"48","2.{\rm PSL}_{2}(49)","!5, 7","Not implemented","-1"
"48","{\rm PSL}_{2}(47)","!23, 47","Not implemented","1"
"48","2.{\rm PSL}_{2}(47)","!23, 47, 2","Not implemented","-1"
"48","{\rm PSL}_{2}(97)","2","Not implemented","-1"
"48","2.{\rm PSL}_{2}(97)","!2, 97","Not implemented","-1"
"49","{\rm PSp}_{4}(4)","17","","1"
"49","{\rm PSp}_{6}(2)","3","","1"
"49","{\rm M}_{22}","3","b11","0"
"49","{\rm J}_1","11","b5, c19","1"
"49","{\rm HS}","3","i5, b11","0"
"49","A_{50}","!2, 5","","1"
"49","A_{51}","3, 17","","1"
"49","{\rm PSL}_{2}(49)","!2, 5, 7","Not implemented","1"
"49","{\rm PSL}_{2}(97)","!2, 97","Not implemented","1"
"50","{\rm PSp}_{4}(4)","! 2,17","","1"
"50","{\rm PSp}_{8}(2)","3","","1"
"50","{\rm O}_{8}^+(2)","! 2,3","","1"
"50","{\rm O}_{8}^-(2)","3","","1"
"50","2.{\rm J}_2","3","b5","-1"
"50","2.{\rm J}_2","! 2,3","i1","0"
"50","{\rm He}","7","","1"
"50","A_{51}","!3, 17","","1"
"50","A_{52}","2, 13","","1"
"50","{\rm PSL}_{2}(49)","!7","Not implemented","1"
"50","2.{\rm PSL}_{2}(49)","!2, 7","Not implemented","-1"
"50","{\rm PSL}_{2}(101)","2","Not implemented","-1"
"50","2.{\rm PSL}_{2}(101)","!2, 101","Not implemented","-1"
"51","{\rm PSU}_{4}(4)","5","","1"
"51","{\rm PSU}_{4}(4)","! 2,5","z5","0"
"51","{\rm PSp}_{4}(4)","! 2,5","b5","1"
"51","{\rm PSp}_{8}(2)","! 2,3","","1"
"51","{\rm O}_{8}^-(2)","! 2,3","","1"
"51","{\rm He}","! 7","b7","0"
"51","A_{52}","!2, 13","","1"
"51","A_{53}","53","","1"
"51","{\rm PSL}_{2}(101)","!2, 101","Not implemented","1"
"51","{\rm PSL}_{2}(103)","!103","Not implemented","0"
"52","{\rm PSL}_{4}(3)","! 2,3","","1"
"52","{\rm PSU}_{3}(4)","! 2,5","z5","0"
"52","{\rm PSU}_{4}(4)","! 2,5","","1"
"52","2.{\rm PSp}_{4}(5)","! 2,5","b5","-1"
"52","{}^{3}D_{4}(2)","! 2","","1"
"52","2.F_{4}(2)","! 2","","1"
"52","A_{53}","!53","","1"
"52","A_{54}","2, 3","","1"
"52","{\rm PSL}_{2}(53)","!53","Not implemented","1"
"52","2.{\rm PSL}_{2}(53)","!3, 53","Not implemented","-1"
"52","2.{\rm PSL}_{2}(103)","!103, 2","Not implemented","0"
"53","A_{12}","11","","1"
"53","A_{13}","11","","1"
"53","{\rm M}_{12}","11","","1"
"53","A_{54}","!2, 3","","1"
"53","A_{55}","5, 11","","1"
"53","{\rm PSL}_{2}(53)","!2, 3, 53","Not implemented","1"
"53","{\rm PSL}_{2}(107)","!107","Not implemented","0"
"54","A_{12}","0,3,7","","1"
"54","6.{\rm PSL}_{3}(4)","7","z3","0"
"54","{\rm M}_{12}","0,3","","1"
"54","{\rm M}_{22}","7","","1"
"54","6.{\rm M}_{22}","7","z3","0"
"54","A_{55}","!5, 11","","1"
"54","A_{56}","2, 7","","1"
"54","{\rm PSL}_{2}(53)","!13, 53","Not implemented","1"
"54","2.{\rm PSL}_{2}(53)","!2, 53","Not implemented","-1"
"54","2.{\rm PSL}_{2}(107)","!107, 2","Not implemented","0"
"54","{\rm PSL}_{2}(109)","2","Not implemented","-1"
"54","2.{\rm PSL}_{2}(109)","!2, 109","Not implemented","-1"
"55","A_{10}","5","","1"
"55","A_{11}","5","","1"
"55","A_{12}","! 2,3","","1"
"55","A_{13}","13","","1"
"55","{\rm PSL}_{3}(7)","3,19","","1"
"55","{\rm PSU}_{5}(2)","! 2","","1"
"55","{\rm PSU}_{5}(2)","! 2,3","z3","0"
"55","{\rm M}_{11}","! 2,3","","1"
"55","{\rm M}_{12}","! 2,3","","1"
"55","{\rm M}_{22}","! 2,7","","1"
"55","{\rm J}_1","19","b5","1"
"55","{\rm HS}","5","","1"
"55","A_{56}","!2, 7","","1"
"55","A_{57}","3, 19","","1"
"55","{\rm PSL}_{2}(109)","!2, 109","Not implemented","1"
"56","A_{8}","0,7","","1"
"56","2.A_{8}","0,7","z3","0"
"56","2.A_{8}","0,7","i15","0"
"56","A_{9}","! 2,3","","1"
"56","2.A_{9}","! 2,3","","1"
"56","A_{10}","5","","1"
"56","2.A_{10}","5","r6, r21","1"
"56","2.A_{11}","5","r6, r21","1"
"56","4_1.{\rm PSL}_{3}(4)","! 2,3","i1","0"
"56","{\rm PSL}_{3}(7)","0,2","","1"
"56","{\rm PSU}_{3}(8)","! 2","","-1"
"56","2.{\rm PSU}_{4}(3)","! 2,3","","1"
"56","2.{\rm PSU}_{6}(2)","! 2","","1"
"56","{\rm PSp}_{6}(2)","! 2,3","","1"
"56","2.{\rm PSp}_{6}(2)","3","i5","0"
"56","2.{\rm O}_{8}^+(2)","! 2","","1"
"56","2.Sz(8)","! 2,13","c13","1"
"56","2.{\rm M}_{22}","! 2,5","","1"
"56","4.{\rm M}_{22}","! 2","z8","0"
"56","{\rm J}_1","2","b5","-1"
"56","{\rm J}_1","5","","1"
"56","{\rm J}_1","! 5,19","b5","1"
"56","2.{\rm J}_2","5","","-1"
"56","2.{\rm J}_2","0,7","b5","-1"
"56","{\rm HS}","2","","1"
"56","2.{\rm HS}","! 2,5","","1"
"56","A_{57}","!3, 19","","1"
"56","A_{58}","2, 29","","1"
"56","{\rm PSL}_{2}(113)","2","Not implemented","-1"
"56","2.{\rm PSL}_{2}(113)","!2, 113","Not implemented","-1"
"57","{\rm PSL}_{3}(7)","! 2,7","","1"
"57","3.{\rm PSL}_{3}(7)","! 3, 7","z3","0"
"57","{\rm PSU}_{3}(8)","! 2,3","z3","0"
"57","3.{\rm PSU}_{3}(8)","! 2,3","z9","0"
"57","{\rm J}_2","3","b5","1"
"57","A_{58}","!2, 29","","1"
"57","A_{59}","59","","1"
"57","{\rm PSL}_{2}(113)","!2, 113","Not implemented","1"
"58","{\rm PSU}_{4}(2)","5","","1"
"58","2.{\rm J}_2","7","b5","-1"
"58","A_{59}","!59","","1"
"58","A_{60}","2, 3, 5","","1"
"58","{\rm PSL}_{2}(59)","!59","Not implemented","1"
"58","2.{\rm PSL}_{2}(59)","!2, 59","Not implemented","-1"
"59","A_{60}","!2, 3, 5","","1"
"59","A_{61}","61","","1"
"59","{\rm PSL}_{2}(59)","!2, 3, 5, 59","Not implemented","1"
"60","4_2.{\rm PSL}_{3}(4)","3","i1, r7","0"
"60","6.{\rm PSL}_{3}(4)","0,5","z3, b7","0"
"60","12_2.{\rm PSL}_{3}(4)","0,5","z12, b7","0"
"60","{\rm PSU}_{4}(2)","0,5","","1"
"60","2.{\rm PSU}_{4}(2)","0,5","","-1"
"60","2.{\rm PSU}_{4}(2)","0,5","z3","0"
"60","{\rm PSU}_{5}(3)","! 3","","-1"
"60","{\rm PSp}_{4}(11)","2","b11","0"
"60","2.{\rm PSp}_{4}(11)","! 2,11","b11","0"
"60","A_{61}","!61","","1"
"60","A_{62}","2, 31","","1"
"60","{\rm PSL}_{2}(121)","2","Not implemented","-1"
"60","2.{\rm PSL}_{2}(121)","!2, 11","Not implemented","-1"
"60","{\rm PSL}_{2}(59)","!29, 59","Not implemented","1"
"60","2.{\rm PSL}_{2}(59)","!29, 59, 2","Not implemented","-1"
"60","{\rm PSL}_{2}(61)","!61","Not implemented","1"
"60","2.{\rm PSL}_{2}(61)","!31, 61","Not implemented","-1"
"61","{\rm PSL}_{6}(2)","3,7","","1"
"61","{\rm PSU}_{5}(3)","! 2,3","i1","0"
"61","{\rm PSp}_{4}(11)","! 2,11","b11","0"
"61","A_{62}","!2, 31","","1"
"61","A_{63}","3, 7","","1"
"61","{\rm PSL}_{2}(121)","!2, 11","Not implemented","1"
"61","{\rm PSL}_{2}(61)","!2, 31, 61","Not implemented","1"
"62","{\rm PSL}_{6}(2)","0,5,31","","1"
"62","{\rm PSp}_{6}(5)","! 5","b5","-1"
"62","A_{63}","!3, 7","","1"
"62","A_{64}","2","","1"
"62","{\rm PSL}_{2}(125)","2","Not implemented","-1"
"62","2.{\rm PSL}_{2}(125)","!2, 5","Not implemented","-1"
"62","{\rm PSL}_{2}(61)","!61","Not implemented","1"
"62","2.{\rm PSL}_{2}(61)","!2, 61","Not implemented","-1"
"63","{\rm PSL}_{3}(4)","5","","1"
"63","{\rm PSL}_{3}(4)","! 2,5","b5","1"
"63","3.{\rm PSL}_{3}(4)","5","z3","0"
"63","3.{\rm PSL}_{3}(4)","0,7","z3, b5","0"
"63","{\rm PSU}_{3}(4)","13","","1"
"63","2.{\rm PSp}_{6}(5)","! 2,5","b5","1"
"63","Sz(8)","5","","1"
"63","{\rm J}_2","! 2,5","","1"
"63","A_{64}","!2","","1"
"63","A_{65}","5, 13","","1"
"63","{\rm PSL}_{2}(64)","!2","Not implemented","1"
"63","{\rm PSL}_{2}(125)","!2, 5","Not implemented","1"
"63","{\rm PSL}_{2}(127)","!127","Not implemented","0"
"64","A_{8}","0","","1"
"64","2.A_{8}","0","","-1"
"64","A_{10}","2","","1"
"64","2.A_{10}","0,7","","1"
"64","A_{13}","2","","-1"
"64","A_{13}","3","","1"
"64","A_{14}","2,3","","1"
"64","2.A_{14}","! 2,7","","-1"
"64","A_{15}","2","b15","0"
"64","2.A_{15}","3, 5","","-1"
"64","2.A_{15}","! 2,3,5","b15","0"
"64","A_{16}","2","b7, b15, b39, b55","0"
"64","{\rm PSL}_{3}(4)","0","","1"
"64","2.{\rm PSL}_{3}(4)","0,7","","1"
"64","4_1.{\rm PSL}_{3}(4)","0,7","i1","0"
"64","4_2.{\rm PSL}_{3}(4)","0","i1","0"
"64","{\rm PSU}_{3}(4)","0,3","","1"
"64","{\rm PSU}_{4}(2)","0","","1"
"64","2.{\rm PSU}_{4}(2)","0","","-1"
"64","{\rm PSp}_{4}(5)","2","","-1"
"64","{\rm PSp}_{4}(5)","3","","1"
"64","2.{\rm PSp}_{6}(2)","5","","1"
"64","2.{\rm PSp}_{6}(2)","0,7","i5","0"
"64","Sz(8)","0,7","","1"
"64","2.Sz(8)","0,7","","1"
"64","G_{2}(3)","! 3","z3","0"
"64","G_{2}(4)","3","","1"
"64","2.{\rm M}_{22}","11","","1"
"64","4.{\rm M}_{22}","3","i1","0"
"64","{\rm J}_1","11","b5, c19","1"
"64","{\rm J}_2","2","b5","1"
"64","2.{\rm J}_2","5","","-1"
"64","2.{\rm J}_2","0","b5","-1"
"64","{\rm Suz}","3","","1"
"64","A_{65}","!5, 13","","1"
"64","A_{66}","2, 3, 11","","1"
"64","{\rm PSL}_{2}(64)","!5, 13, 2","Not implemented","1"
"64","2.{\rm PSL}_{2}(127)","!127, 2","Not implemented","0"
"65","A_{13}","! 2,3,11","","1"
"65","{\rm PSL}_{4}(3)","! 2,3","","1"
"65","{\rm PSU}_{3}(4)","0,13","z5","0"
"65","{\rm PSU}_{3}(4)","! 2,3","","1"
"65","{\rm PSp}_{4}(5)","0,13","","1"
"65","Sz(8)","! 2,7","y7","1"
"65","G_{2}(4)","! 2,3","","1"
"65","A_{66}","!2, 3, 11","","1"
"65","A_{67}","67","","1"
"65","{\rm PSL}_{2}(64)","!2","Not implemented","1"
"65","{\rm PSL}_{2}(131)","!131","Not implemented","0"
"66","A_{10}","7","","1"
"66","A_{11}","7","","1"
"66","A_{13}","! 2,13","","1"
"66","A_{14}","7","","1"
"66","{\rm PSU}_{5}(2)","! 2,3","z3","-1"
"66","{\rm M}_{12}","! 2,3","","1"
"66","6.{\rm M}_{22}","7","z3","0"
"66","6.{\rm M}_{22}","0,5,11","z3, b7","0"
"66","3.{\rm Suz}","! 3","z3","0"
"66","A_{67}","!67","","1"
"66","A_{68}","2, 17","","1"
"66","{\rm PSL}_{2}(67)","!67","Not implemented","1"
"66","2.{\rm PSL}_{2}(67)","!2, 67","Not implemented","-1"
"66","2.{\rm PSL}_{2}(131)","!131, 2","Not implemented","0"
"67","A_{68}","!2, 17","","1"
"67","A_{69}","3, 23","","1"
"67","{\rm PSL}_{2}(67)","!2, 17, 67","Not implemented","1"
"68","A_{69}","!3, 23","","1"
"68","A_{70}","2, 5, 7","","1"
"68","{\rm PSL}_{2}(67)","!67","Not implemented","1"
"68","2.{\rm PSL}_{2}(67)","!67, 2","Not implemented","-1"
"68","{\rm PSL}_{2}(137)","2","Not implemented","-1"
"68","2.{\rm PSL}_{2}(137)","!2, 137","Not implemented","-1"
"69","{\rm J}_1","11","b5, c19","1"
"69","A_{70}","!2, 5, 7","","1"
"69","A_{71}","71","","1"
"69","{\rm PSL}_{2}(137)","!2, 137","Not implemented","1"
"69","{\rm PSL}_{2}(139)","!139","Not implemented","0"
"70","A_{8}","! 2,3","","1"
"70","2.{\rm PSL}_{3}(4)","! 2,3","","1"
"70","{\rm PSU}_{4}(3)","2","z3","0"
"70","2.{\rm PSU}_{4}(3)","! 2,3","","1"
"70","2.{\rm PSU}_{4}(3)","! 2,3","z3","0"
"70","{\rm PSp}_{6}(2)","! 2,3","","1"
"70","{\rm M}_{22}","2","b11","0"
"70","{\rm J}_2","5","","1"
"70","{\rm J}_2","0,7","b5","1"
"70","A_{71}","!71","","1"
"70","A_{72}","2, 3","","1"
"70","{\rm PSL}_{2}(71)","!71","Not implemented","1"
"70","2.{\rm PSL}_{2}(71)","!2, 71","Not implemented","-1"
"70","2.{\rm PSL}_{2}(139)","!139, 2","Not implemented","0"
"71","{\rm PSL}_{3}(8)","73","","1"
"71","A_{72}","!2, 3","","1"
"71","A_{73}","73","","1"
"71","{\rm PSL}_{2}(71)","!2, 3, 71","Not implemented","1"
"72","2.A_{9}","7","z3, r2","0"
"72","{\rm PSL}_{3}(8)","! 2,73","","1"
"72","{\rm PSU}_{3}(9)","! 3","","-1"
"72","A_{73}","!73","","1"
"72","A_{74}","2, 37","","1"
"72","{\rm PSL}_{2}(71)","!71","Not implemented","1"
"72","2.{\rm PSL}_{2}(71)","!71, 2","Not implemented","-1"
"72","{\rm PSL}_{2}(73)","!73","Not implemented","1"
"72","2.{\rm PSL}_{2}(73)","!37, 73","Not implemented","-1"
"73","{\rm PSL}_{3}(8)","! 2,7","z7","0"
"73","{\rm PSU}_{3}(9)","! 2,3","","1"
"73","{\rm PSU}_{3}(9)","! 3,5","z5","0"
"73","A_{74}","!2, 37","","1"
"73","A_{75}","3, 5","","1"
"73","{\rm PSL}_{2}(73)","!2, 37, 73","Not implemented","1"
"74","A_{75}","!3, 5","","1"
"74","A_{76}","2, 19","","1"
"74","{\rm PSL}_{2}(73)","!73","Not implemented","1"
"74","2.{\rm PSL}_{2}(73)","!2, 73","Not implemented","-1"
"74","{\rm PSL}_{2}(149)","2","Not implemented","-1"
"74","2.{\rm PSL}_{2}(149)","!2, 149","Not implemented","-1"
"75","A_{10}","0,5","","1"
"75","{\rm PSU}_{3}(4)","! 2,13","d13","0"
"75","{\rm J}_1","7","","1"
"75","A_{76}","!2, 19","","1"
"75","A_{77}","7, 11","","1"
"75","{\rm PSL}_{2}(149)","!2, 149","Not implemented","1"
"75","{\rm PSL}_{2}(151)","!151","Not implemented","0"
"76","A_{14}","13","","1"
"76","A_{15}","13","","1"
"76","{\rm J}_1","2","","-1"
"76","{\rm J}_1","! 7,11","","1"
"76","A_{77}","!7, 11","","1"
"76","A_{78}","2, 3, 13","","1"
"76","2.{\rm PSL}_{2}(151)","!151, 2","Not implemented","0"
"77","A_{14}","! 2,3,13","","1"
"77","{}^{2}F_{4}(2)'","3","","1"
"77","{\rm J}_1","! 2,3,19","","1"
"77","{\rm J}_1","! 2,5","b5","1"
"77","{\rm HS}","! 2,5","","1"
"77","{\rm Fi}_{22}","3","","1"
"77","A_{78}","!2, 3, 13","","1"
"77","A_{79}","79","","1"
"78","A_{9}","2","","1"
"78","A_{14}","! 2,7","","1"
"78","A_{15}","3,5","","1"
"78","6_1.{\rm PSU}_{4}(3)","5","z3","0"
"78","{\rm PSp}_{4}(5)","! 2,5","b5","1"
"78","{\rm PSp}_{6}(3)","! 3","","1"
"78","{\rm O}_{7}(3)","! 3","","1"
"78","G_{2}(3)","! 3","","1"
"78","G_{2}(4)","! 2","","1"
"78","{}^{2}F_{4}(2)'","! 2,3","","1"
"78","{\rm M}_{12}","5","","1"
"78","3.{\rm M}_{22}","5","z3","0"
"78","{\rm J}_3","2","b5, b17","1"
"78","{\rm Suz}","3","","1"
"78","3.{\rm Suz}","! 2,3","z3","0"
"78","{\rm Fi}_{22}","2","","1"
"78","{\rm Fi}_{22}","! 2,3","","1"
"78","A_{79}","!79","","1"
"78","A_{80}","2, 5","","1"
"78","{\rm PSL}_{2}(79)","!79","Not implemented","1"
"78","2.{\rm PSL}_{2}(79)","!2, 79","Not implemented","-1"
"78","{\rm PSL}_{2}(157)","2","Not implemented","-1"
"78","2.{\rm PSL}_{2}(157)","!2, 157","Not implemented","-1"
"79","A_{80}","!2, 5","","1"
"79","A_{81}","3","","1"
"79","{\rm PSL}_{2}(79)","!2, 5, 79","Not implemented","1"
"79","{\rm PSL}_{2}(157)","!2, 157","Not implemented","1"
"80","4_1.{\rm PSL}_{3}(4)","0,5","i1, r7","0"
"80","4_2.{\rm PSL}_{3}(4)","0,5","i1, r7","0"
"80","2.{\rm PSU}_{4}(2)","0,5","","-1"
"80","{\rm J}_3","2","b17","1"
"80","A_{81}","!3","","1"
"80","A_{82}","2, 41","","1"
"80","{\rm PSL}_{2}(81)","!3","Not implemented","1"
"80","2.{\rm PSL}_{2}(81)","!41, 3","Not implemented","-1"
"80","{\rm PSL}_{2}(79)","!79","Not implemented","1"
"80","2.{\rm PSL}_{2}(79)","!79, 2","Not implemented","-1"
"81","{\rm PSU}_{4}(2)","0","","1"
"81","A_{82}","!2, 41","","1"
"81","A_{83}","83","","1"
"81","{\rm PSL}_{2}(81)","!2, 41, 3","Not implemented","1"
"81","{\rm PSL}_{2}(163)","!163","Not implemented","0"
"82","A_{83}","!83","","1"
"82","A_{84}","2, 3, 7","","1"
"82","{\rm PSL}_{2}(81)","!3","Not implemented","1"
"82","2.{\rm PSL}_{2}(81)","!2, 3","Not implemented","-1"
"82","{\rm PSL}_{2}(83)","!83","Not implemented","1"
"82","2.{\rm PSL}_{2}(83)","!2, 83","Not implemented","-1"
"82","2.{\rm PSL}_{2}(163)","!163, 2","Not implemented","0"
"83","A_{9}","5","","1"
"83","{\rm PSL}_{4}(4)","5,17","","1"
"83","{\rm PSp}_{6}(2)","5","","1"
"83","{\rm O}_{8}^+(2)","5","","1"
"83","{\rm O}_{8}^-(2)","17","","1"
"83","A_{84}","!2, 3, 7","","1"
"83","A_{85}","5, 17","","1"
"83","{\rm PSL}_{2}(83)","!2, 3, 7, 83","Not implemented","1"
"83","{\rm PSL}_{2}(167)","!167","Not implemented","0"
"84","A_{9}","0,7","","1"
"84","A_{10}","! 2,5","","1"
"84","A_{11}","11","","1"
"84","3.{\rm PSL}_{3}(4)","0,7","z3","0"
"84","12_2.{\rm PSL}_{3}(4)","0,7","z12","0"
"84","{\rm PSL}_{4}(4)","0,3,7","","1"
"84","{\rm PSU}_{3}(5)","! 2,5","","1"
"84","3.{\rm PSU}_{3}(5)","! 3,5","z3","0"
"84","3_1.{\rm PSU}_{4}(3)","2","z3","0"
"84","6_1.{\rm PSU}_{4}(3)","0,7","z3","0"
"84","12_1.{\rm PSU}_{4}(3)","! 2,3","z12","0"
"84","{\rm PSp}_{4}(13)","2","b13","-1"
"84","2.{\rm PSp}_{4}(13)","! 2,13","b13","-1"
"84","{\rm PSp}_{6}(2)","0,7","","1"
"84","{\rm O}_{8}^+(2)","0,7","","1"
"84","{\rm O}_{8}^-(2)","0,5,7","","1"
"84","2.{\rm M}_{12}","3","i5, b11","0"
"84","3.{\rm M}_{22}","11","z3","0"
"84","3.{\rm M}_{22}","2","z3, b11","0"
"84","{\rm J}_2","2","","1"
"84","2.{\rm J}_2","0,7","","-1"
"84","{\rm J}_3","2,3","b19","0"
"84","A_{85}","!5, 17","","1"
"84","A_{86}","2, 43","","1"
"84","{\rm PSL}_{2}(169)","2","Not implemented","-1"
"84","2.{\rm PSL}_{2}(169)","!2, 13","Not implemented","-1"
"84","{\rm PSL}_{2}(83)","!41, 83","Not implemented","1"
"84","2.{\rm PSL}_{2}(83)","!41, 83, 2","Not implemented","-1"
"84","2.{\rm PSL}_{2}(167)","!167, 2","Not implemented","0"
"85","{\rm PSL}_{4}(4)","! 2,3","z3","0"
"85","{\rm PSU}_{8}(2)","3","","1"
"85","{\rm PSU}_{8}(2)","! 2,3","z3","0"
"85","{\rm PSp}_{4}(4)","! 2,3","","1"
"85","{\rm PSp}_{4}(13)","! 2,13","b13","1"
"85","{\rm PSp}_{8}(2)","! 2,3","","1"
"85","{\rm J}_2","5","","1"
"85","{\rm J}_3","19","","1"
"85","{\rm J}_3","0,5,17","b19","0"
"85","A_{86}","!2, 43","","1"
"85","A_{87}","3, 29","","1"
"85","{\rm PSL}_{2}(169)","!2, 13","Not implemented","1"
"86","{\rm PSU}_{8}(2)","! 2,3","","1"
"86","A_{87}","!3, 29","","1"
"86","A_{88}","2, 11","","1"
"86","{\rm PSL}_{2}(173)","2","Not implemented","-1"
"86","2.{\rm PSL}_{2}(173)","!2, 173","Not implemented","-1"
"87","A_{88}","!2, 11","","1"
"87","A_{89}","89","","1"
"87","{\rm PSL}_{2}(173)","!2, 173","Not implemented","1"
"88","4.{\rm M}_{22}","5","z8, b7","0"
"88","A_{89}","!89","","1"
"88","A_{90}","2, 3, 5","","1"
"88","{\rm PSL}_{2}(89)","!89","Not implemented","1"
"88","2.{\rm PSL}_{2}(89)","!89","Not implemented","-1"
"89","A_{10}","7","","1"
"89","A_{11}","5","","1"
"89","A_{12}","5","","1"
"89","A_{15}","7","","1"
"89","A_{16}","7","","1"
"89","{\rm PSL}_{3}(9)","7,13","","1"
"89","{\rm PSL}_{4}(3)","13","","1"
"89","{\rm PSU}_{4}(3)","7","","1"
"89","{\rm PSp}_{4}(5)","13","","1"
"89","{\rm J}_1","7","c19","1"
"89","{\rm J}_2","7","","1"
"89","A_{90}","!2, 3, 5","","1"
"89","A_{91}","7, 13","","1"
"89","{\rm PSL}_{2}(89)","!2, 3, 5, 89","Not implemented","1"
"89","{\rm PSL}_{2}(179)","!179","Not implemented","0"
"90","A_{10}","0,3","","1"
"90","A_{15}","! 7,13","","1"
"90","A_{16}","2","","1"
"90","2.{\rm PSL}_{3}(4)","! 2,7","","1"
"90","6.{\rm PSL}_{3}(4)","0,5","z3","0"
"90","{\rm PSL}_{3}(9)","0, 2, 5","","1"
"90","{\rm PSL}_{4}(3)","0,5","","1"
"90","{\rm PSU}_{4}(3)","0,5","","1"
"90","3_1.{\rm PSU}_{4}(3)","2","z3","0"
"90","6_2.{\rm PSU}_{4}(3)","! 2,3","z3","0"
"90","{\rm PSp}_{4}(5)","0,3","","1"
"90","{\rm O}_{7}(3)","2","","1"
"90","G_{2}(3)","2","","1"
"90","6.{\rm M}_{22}","11","z12","-1"
"90","{\rm J}_2","! 2,7","","1"
"90","A_{91}","!7, 13","","1"
"90","A_{92}","2, 23","","1"
"90","{\rm PSL}_{2}(89)","!89","Not implemented","1"
"90","2.{\rm PSL}_{2}(89)","!2, 89","Not implemented","-1"
"90","2.{\rm PSL}_{2}(179)","!179, 2","Not implemented","0"
"90","{\rm PSL}_{2}(181)","2","Not implemented","-1"
"90","2.{\rm PSL}_{2}(181)","!2, 181","Not implemented","-1"
"91","A_{15}","! 2,3,5","","1"
"91","{\rm PSL}_{3}(9)","! 2,3","","1"
"91","{\rm PSL}_{3}(9)","! 2,3","i1","0"
"91","{\rm PSL}_{3}(9)","! 2,3","z8","0"
"91","{\rm PSp}_{6}(2)","3","","1"
"91","{\rm PSp}_{6}(3)","! 2,3","z3","0"
"91","{\rm O}_{7}(3)","! 2,3","","1"
"91","Sz(8)","! 2,5","","1"
"91","G_{2}(3)","! 2,3","","1"
"91","{\rm M}_{12}","11","","1"
"91","A_{92}","!2, 23","","1"
"91","A_{93}","3, 31","","1"
"91","{\rm PSL}_{2}(181)","!2, 181","Not implemented","1"
"92","2.G_{2}(4)","5","","-1"
"92","A_{93}","!3, 31","","1"
"92","A_{94}","2, 47","","1"
"93","A_{94}","!2, 47","","1"
